
2022/01/31 (15:05:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:05:51) | ===> btop++ v.1.1.4
2022/01/31 (15:05:51) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:05:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:10:56) | ===> btop++ v.1.1.4
2022/01/31 (15:10:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:10:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:34:02) | ===> btop++ v.1.1.4
2022/01/31 (15:34:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:34:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:35:02) | ===> btop++ v.1.1.4
2022/01/31 (15:35:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:35:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:35:38) | ===> btop++ v.1.1.4
2022/01/31 (15:35:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:35:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:35:45) | ===> btop++ v.1.1.4
2022/01/31 (15:35:45) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:35:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:35:58) | ===> btop++ v.1.1.4
2022/01/31 (15:35:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:35:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:36:09) | ===> btop++ v.1.1.4
2022/01/31 (15:36:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:36:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:37:26) | ===> btop++ v.1.1.4
2022/01/31 (15:37:26) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:37:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:37:59) | ===> btop++ v.1.1.4
2022/01/31 (15:37:59) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:37:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:38:08) | ===> btop++ v.1.1.4
2022/01/31 (15:38:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:38:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:39:13) | ===> btop++ v.1.1.4
2022/01/31 (15:39:13) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:39:13) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:39:50) | ===> btop++ v.1.1.4
2022/01/31 (15:39:50) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:39:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:40:04) | ===> btop++ v.1.1.4
2022/01/31 (15:40:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:40:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:40:11) | ===> btop++ v.1.1.4
2022/01/31 (15:40:11) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:40:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:41:47) | ===> btop++ v.1.1.4
2022/01/31 (15:41:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:41:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:43:22) | ===> btop++ v.1.1.4
2022/01/31 (15:43:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:43:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:44:02) | ===> btop++ v.1.1.4
2022/01/31 (15:44:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:44:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:44:52) | ===> btop++ v.1.1.4
2022/01/31 (15:44:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:44:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:51:44) | ===> btop++ v.1.1.4
2022/01/31 (15:51:44) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:51:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:59:12) | ===> btop++ v.1.1.4
2022/01/31 (15:59:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:59:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
